,min_dist,min_dur
2181,10541.4,799.84
2182,19206.58,1210.37
2183,4639.34,608.61
2184,76367.14,4083.74
2185,541.0,89.06
2186,2937.01,278.09
2187,130640.49,6018.61
2188,41038.5,2311.26
2189,1555.41,279.93
2190,2110.72,243.88
2191,514.07,64.95
2192,42050.57,2308.51
2193,1358.22,206.15
2194,1307.82,168.0
2195,27683.03,1636.43
2196,328.95,50.58
2197,3553.73,386.79
2198,95214.97,4022.2
2199,8380.5,855.88
2200,43773.82,2426.35
2201,582.76,90.42
2202,41925.12,2468.93
2203,166310.61,8597.09
2204,42556.31,2455.03
2205,1918.52,275.37
2206,4345.87,477.78
2207,661.98,91.53
2208,4742.99,459.35
2209,669.45,109.69
2210,1109.66,176.91
2211,1686.53,293.59
2212,1686.53,293.59
2213,6454.44,743.89
2214,152681.27,6291.86
2215,753.04,100.9
2216,2228.62,269.44
2217,3733.34,401.83
2218,1527.69,255.63
2219,1728.64,209.77
2220,2953.96,429.96
2221,11437.95,881.51
2222,6471.59,750.07
2223,5130.34,542.28
2224,2266.46,443.2
2225,2997.68,294.51
2226,2600.62,347.1
2227,2506.84,370.14
2228,2651.95,307.45
2229,76358.02,4048.27
2230,1282.91,171.62
2231,1610.15,157.05
2232,2883.0,341.24
2233,1162.42,166.26
2234,4214.03,533.89
2235,1227.25,149.74
2236,4214.03,533.89
2237,496.25,89.33
2238,1812.27,244.09
2239,478.06,94.67
2240,620.33,89.4
2241,1852.68,176.56
2242,1110.9,143.54
2243,244.03,58.57
2244,1357.06,206.04
2245,153244.89,6137.81
2246,9444.4,694.93
2247,94166.51,4352.37
2248,1285.73,163.71
2249,181727.52,7539.77
2250,1234.73,144.21
2251,422.78,79.13
2252,971.64,154.19
2253,8288.75,819.75
